id,text
0,22705 25427 15465 4054 11295 26336 27700 25585 13355 23349 26526 9601 5203 13317 4526 26564 14489 25843 25473 14950 26669 17281 7493 749 26823 23372 17281 25398 29627 11342 ， 12163 8224 13343 25257 3470 10636 1317 26183 10620 8194 13535 10449 10446 7800 929 17281 4397 9963
1,16614 6180 19121 23904 14547 1938 11583 28139 17861 15469 14547 19934 8194 10897 14454 15469 ， 12163 12113 1242 12960 26669 18970 29555 ， 15912 10723 10300 10658 16328 2103 4198
2,21092 20097 30100 18430 13462 14950 8194 4368 26336 6762 2545 ， 4198 11259 5602 9810 16572 20097 23953 29628 24438 7531 ， 17494 4198 14131 30100 18430 13688 4767 9614 854 24586 17281 25945 2124
3,17861 15043 648 8147 25131 8327 18679 24007 26366 10238 20163 929 3328 23349 23259 6837 26154 20097 5602 26694 8 ， 15360 29731 9428 10238 104 4054 9531 3848 20060 10658 9963 5574 7469 648 29640 21473 22410 23349 26526 12772 9019 8147 27344 10238 10026 27308
4,8644 26669 26748 4054 11259 14489 396 2446 8194 1943 17281 11259 19121 26307 18947 28109 2281 10531 4054 6837 10026 27308 ， 12153 6837 26154 14489 25843 23120 26328 4198 14131 23904 26694 8 26336 3218 16416 9935 13562 8 17281 396 1938 28503 17080 23520 10636 19897 25257 10238 20163 12459 3328 8194 1943
5,10647 12966 19458 4274 648 8224 12960 15318 20448 17281 19121 12235 ， 25483 19121 28648 2224 854 9538 27322 10411 6517 1317
6,18244 19121 30241 20015 20244 30241 29296 6762 20244 28682 2797 29547 19121 12235 11766 3240 7800 26725 29000 5015 25130 15085 ， 2281 29956 25682 3780 5219 1396 9601
7,25483 11259 8100 28136 6527 8080 4873 15766 8679 16328 4198 20048 15707 ， 233 2103 16328 17525 1396 18319 26366 11259 19121 23832 19052 1602 17738 18040 4106 8194
8,10941 19121 5602 9810 13737 26313 2115 16883 ， 30131 4260 4054 12772 12590 9672 9379 17281 7661 19121 28648 2224 854 ， 4004 22382 14232 19897 24199 29003 24426 5083 1938 929 17281 18970 29555 29832 21326 ， 12772 10300
9,22705 20791 22993 929 14489 25843 21322 929 27013 18451 ， 27151 26526 2970 9601 26564 85 6837 11973 11259 25483 10941 19121 27013 12196 26336 23349 8808 17434 9192 19433 29640 8137 23349 23259 5697 24540 13470 23349 26526 7442 4397 3262 17281 14547 2066 14950 28438 2990 15469
10,12772 10300 21552 4873 4054 19121 13470 16157 5697 3042 21015 16542 4807 17281 1292 929 ， 8766 21871 9283 5111 12021 11100 16575 4873 11160 20428 17281 12772 20448 ， 15991 104 23084
11,18661 27357 26336 1258 26754 25483 19121 220 4197 10922 3218 22737 17281 19339 28943 18079 10922 10138 25163 ， 10059 749 25483 19121 10647 7424 13821 17937 3254 7251 8100 ， 25483 19121 4274 7915 25130 28018 25257 25572 4397 10449 20669 5697 1602 23349 26526 8299 12520 ， 14131 8679 13046 7390 10300 16045
12,3848 2910 3240 7800 1730 7661 19121 5540 2281 5602 21649 12772 2910 29956 9601 ， 2281 1943 10274 27653 20060
13,648 8224 4274 9925 8147 19121 12235 17281 18834 27200 4198 26059 25585 1562 ， 19551 7424 25483 19121 14018 26669 648 29640 23349 26526 12153 12567
14,10639 13299 23829 24965 12256 25572 1429 26928 13657 23635 8147 16274 5540 ， 25658 4529
15,7661 19121 25203 2484 15439 5697 2066 15439 18496 803 5609 979 141 14547 20431 3848 15469 29455 1823 7442 12482 12482 4759 5320 ， 2281 10893 3144 803 23832 9601
16,16542 30096 19121 14501 27067 25257 24058 12153 3042 10446 14847 18970 29555 29498 14547 141 8935 23008 30104 17256 15469 ， 24426 929 14501 27454 8147 22410 22014 19226 927 6788 25 10449 9043
17,22705 16614 6180 25585 17080 25563 24007 12153 5933 19052 3848 2910 23953 7702 ， 10539 11526 25585 8693 2797 3848 2910 23953 2990 9283 5111 ， 10935 6762 2240 10647 26366 19047 30016 4529 5046 11955 5890 5697 20723 20244 9531 26694 ， 104 23084 28874 21004 4873
18,18371 8679 233 4198 24053 19934 29038 10449 14051 ！ 28705 13535 9601 19121 23904 ！ 3110 6285 8 29498 11160 10723 17935 1396 21618 14521 19910 23452 1292 929 8189 24822 15830 29498 7440 25828
19,25212 10449 25284 13535 1292 11080 24007 ， 9498 9907 3470 21680 15469 ， 2797 9601 10449 25284 13535 14547 16853 14501 29956 28256 ， 26729 14405 6231 17997 104 16614 6180 10760 7558 11080 24007 ， 7390 2281 17525 8679 20669
20,10647 8194 20097 14547 726 17861 25682 10645 15469 ， 19636 10645 648 8224 979 18785 20791 24965 12100 1082 25442 1834 ， 7661 19121 23635 22131 25945 ， 929 26366 7661 19121 25442 1834 24965 12100 10449 9043
21,28874 24808 16575 2281 7661 19121 27151 26526 14547 23452 14244 15469 17281 17441 3644 24808 11342 24413 25344 25344 13174
22,7481 26437 4004 22382 14232 929 26366 17062 8100 19339 8258 24007 17281 17861 3644 ， 20850 13535 4004 22382 14232 16868 2166 4018 29192 4054 16328 2103 2103 23722 3218 27700 17281 19339 8258 25504 ， 4004 22382 14232 17062 14051 8100 7360 2166 24058 8773 12052 25606
23,20850 29547 3240 7800 23980 1222 1258 11497 23904 17281 12706 274 ， 24058 20163 8808 12790 25658 4529 10059 749 27322 18581 20097 16328 18371 23904 10596 26725 4274 16648 12248 9043 27063 20097 5602 ， 3844 11160 23146 16856 26307 8164 28025 22737 7915 12660 6762 9410 22208 13821 13178 2281 24808 11342 8194 10922 2106 10039
24,20850 3240 7800 23980 1222 10893 23832 13535 8322 8194 28394 1433 4873 8766 10937 29842 17281 25368 24583 2066 14950 ， 9508 11760 10937 29842 10449 274 24583 17256 23904 16328 8679 21534 2103 4198 929 28648 16021 24540 11160 9023 29555 2738 21552 9742 10645 14547 1995 21738 15469 17281 15098 3636
25,26336 10893 10922 19226 4873 7661 19121 3218 4767 2124 16157 ， 7661 19121 27013 12196 9210 14684 17918 7558
26,10636 8147 10449 18679 11295 26336 20097 29732 26564 25585 7230 10636 19121 29956 10658 17281 13462 14950 ， 11259 28332 2199 233 16328 4198 1317
27,22705 18728 24169 8766 2990 16133 1242 28396 8335 6635 ， 22160 27095 8251 21534 274 14547 17935 1396 15439 15469 5379 1065 625 9755 ， 11568 29940 25483 8100 5697 29940 27013 12196 8100 1451 24053 28332 13462 19052 15707 ， 27427 25682
28,7442 4004 22382 14232 8100 8147 25848 10539 11526 30208 27370 233 1845 28525 12248 25504 16456 2281 11100 12567 17281 9672 1396 29731 25131 8327 4018 29192
29,4685 19121 30100 16902 6189 2124 13839 28874 25277 7558 28332 28860 27013 12196 28682 2797 26823 13607 23259 9273 1629 8045 26417 2738 9601 28614 5697 20447 26336 26669 3662 17281 18417 2628
30,19897 8194 14489 14051 24053 23648 ， 7442 23635 28025 2281 17908 23648 23635 22131 10300 ， 23832 27067 16542 21871 2705 15707 10300 14489 14051 17908 23648 26568 24058 13535 29732 2337 21871 25658 ， 12163 28957 13535 9601 5420 5697 19269 19855 10449 11497 10723 24073
31,2281 8100 2337 29057 2545 5697 25585 7230 19121 3011 28503 21473 19328 10449 9810 6494 26694 8 10922 17861 20048 929 3328 ， 22456 2502 25483 19121 27013 12196 2106 21092 26669 27013 19436 20448 22443 ， 4004 28648 2224 9023 16614 6180 20447 205 27091 14547 19886 5645 19319 10935 15469 ， 18496 10893
32,21357 16614 6180 2199 24073 10922 12052 10449 22014 13462 14950 22160 12248 1258 22014 18787 15927 ， 13458 21853 20244 25157 22737 16037 5756 5756 25219 12023 4876 25219 20852 26393 25219 28685 25219 14325 25219 12023 12186 20852 12186 15708 11220 12772 20448 1258 6030 19886 8366 17227
33,10539 11526 19269 14547 15647 1408 16045 803 23904 15469 30241 3848 2910 14547 20431 3848 15469 9043 13470 396 26748 1943 10274 4438 2106 13778 8718 6616 15912 803 12052 10449 15506 3848 2910 3844 24586 8194 28461 26748 ， 20850 2124 19121 26307 18947 10935 6762 2240 7493 26154 1292 929 8766 2545 23926
34,4198 14131 27013 12196 979 8194 23953 8282 3262 26754 ， 396 1938 28503 17080 23520 10636 15912 14051 22410 929 24808 11342 21004 26694 10300 2106 10039 ， 4198 14131 929 10893 1292 29555 7230 22480
35,4274 929 14489 28648 2224 27013 18451 8282 8137 22275 4397 16614 29555 ， 10893 3144 11259 25483 23259 749 10760 7558 16542 15303 25117 8100 28136 ， 25483 28332 2199 1317
36,13535 13700 16542 25130 10879 28503 21473 10026 104 1823 28682 24659 5609 854 24586 929 29547 5933 19052 10941 1396 1242 17281 7799 2169 625 11846 25682 14950 26669 17281 ， 3240 7800 16853 8644 8929 26313 20061 17281 26154 749 ， 15098 3636 23904 21853 28874 1317
37,10620 8194 10449 19047 4529 17281 9597 19121 6316 23503 28900 22737 5697 17441 19052 19052 22737 8194 26526 29523 26437 10238 20163 18483 10446 19121 12235 11688 274 25398 29627 25483 19121 17281 2617 1053 ， 28109 2922 1317
38,2166 25682 22275 4397 28428 12331 29455 1823 ， 8641 15316 1292 929 8189 ， 9925 8147 5697 16856 25483 19121 12235 7481 16456 8194 929 10935 6832 22382 27013 12196 21326 6288 ， 3218 7481 16456 26669 21092 17281 10026 27308 13535 ， 29547 2106 10039 ， 2166 7442
39,19897 22443 20448 4274 3844 11160 23146 16856 19121 11160 1292 929 8189 5933 19052 1943 10274 ， 22443 20448 4274 12163 8224 13343 8194 17799 ， 20850 10935 6832 22382 2281 26725 8414 24199 9531 10300 2106 10039 ， 7360 2166 1823 21720 24101 8644 4990 10639
40,12153 17062 8100 24426 929 23308 25130 10879 17281 19052 15707 13535 5368 4397 4004 8100 16182 28025 25504 24965 23308 8100 6653 13995 12248 19340 17281 28461 26564 3110 18496 ， 13343 1394 2281 4274 12153 3519 6494 26307 8750 11160 7915 8718 10879 27380 10238 12459 3328 10300 1826 26669 ， 12772 4198
41,6837 26154 23091 14873 15057 14950 26694 8 ， 25585 17861 14873 27321 16542 19462 17281 21649 30249 ， 16614 6180 14501 27454 9601 17441 27013 12196 16456 30249 15465 2545 749 6285 6636 ， 4198 4529 14501 16122 13657 22737 11120 28109 3553 19897 2106 10039 8641 15316 23091 14873 21649 23953 7702
